=== DP-GCN: noise_mult=4.0, lr=3e-3 ===
Using device: cuda
Reading node features from datasets/ogbn_arxiv/raw/node-feat.csv.gz...
Node features loaded: (169343, 128)
Reading node labels...
Node labels loaded: (169343,)
Reading edges...
Edges loaded: 1166243
Reading splits...
Splits: train=90941, val=29799, test=48603
Computing disjoint edge filter...
Disjoint filter: 1166243 -> 464361 edges
Num training nodes: 90941
Num total nodes: 169343
Num edges: 532308
Feature dim: 128
Building subgraphs...
Pre-computing subgraph weights...
Subgraphs built.
Model parameters: 27040
Estimating clipping thresholds from 10000 samples...
Clipping thresholds: {'encoder.layers.0.weight': 3.1186107397079468, 'encoder.layers.0.bias': 1.2115269005298615, 'core_hops.0.update_fn.layers.0.weight': 1.796020120382309, 'core_hops.0.update_fn.layers.0.bias': 0.9065243452787399, 'decoder.layers.0.weight': 2.748708128929138, 'decoder.layers.0.bias': 0.9924480766057968}
Base sensitivity: 12.0
num_steps:   0, train_loss_after_init: 3.7012, train_accuracy_after_init: 3.7343, val_loss_after_init: 3.7886, val_accuracy_after_init: 2.6242, test_loss_after_init: 3.8280, test_accuracy_after_init: 2.4587, epsilon_after_init: 0.0000
num_steps: 1950, train_loss: 1.5915, train_accuracy: 56.4652, val_loss: 1.6192, val_accuracy: 56.0958, test_loss: 1.6228, test_accuracy: 55.1262, epsilon: 10.7726
num_steps: 2000, train_loss: 1.5901, train_accuracy: 56.5685, val_loss: 1.6192, val_accuracy: 56.1764, test_loss: 1.6226, test_accuracy: 55.2373, epsilon: 10.9344
num_steps: 2050, train_loss: 1.5880, train_accuracy: 56.5773, val_loss: 1.6162, val_accuracy: 56.2938, test_loss: 1.6203, test_accuracy: 55.3443, epsilon: 11.0962
num_steps: 2100, train_loss: 1.5827, train_accuracy: 56.6609, val_loss: 1.6151, val_accuracy: 56.3341, test_loss: 1.6222, test_accuracy: 55.3443, epsilon: 11.2553
num_steps: 2150, train_loss: 1.5793, train_accuracy: 56.5839, val_loss: 1.6089, val_accuracy: 56.3442, test_loss: 1.6115, test_accuracy: 55.5274, epsilon: 11.4124
num_steps: 2200, train_loss: 1.5778, train_accuracy: 56.7390, val_loss: 1.6084, val_accuracy: 56.3274, test_loss: 1.6138, test_accuracy: 55.3731, epsilon: 11.5696
num_steps: 2250, train_loss: 1.5739, train_accuracy: 56.8127, val_loss: 1.6036, val_accuracy: 56.3207, test_loss: 1.6109, test_accuracy: 55.4822, epsilon: 11.7268
num_steps: 2300, train_loss: 1.5721, train_accuracy: 56.8599, val_loss: 1.5981, val_accuracy: 56.5556, test_loss: 1.6024, test_accuracy: 55.6673, epsilon: 11.8797
num_steps: 2350, train_loss: 1.5714, train_accuracy: 56.8368, val_loss: 1.6099, val_accuracy: 56.2099, test_loss: 1.6213, test_accuracy: 55.1262, epsilon: 12.0322
num_steps: 2400, train_loss: 1.5681, train_accuracy: 56.9380, val_loss: 1.5974, val_accuracy: 56.3744, test_loss: 1.6025, test_accuracy: 55.6879, epsilon: 12.1848
num_steps: 2450, train_loss: 1.5661, train_accuracy: 56.9919, val_loss: 1.6007, val_accuracy: 56.4818, test_loss: 1.6024, test_accuracy: 55.8587, epsilon: 12.3374
num_steps: 2500, train_loss: 1.5634, train_accuracy: 56.9930, val_loss: 1.5948, val_accuracy: 56.6395, test_loss: 1.5945, test_accuracy: 55.8998, epsilon: 12.4864
num_steps: 2550, train_loss: 1.5628, train_accuracy: 57.0766, val_loss: 1.6005, val_accuracy: 56.6663, test_loss: 1.6014, test_accuracy: 55.7970, epsilon: 12.6343
num_steps: 2600, train_loss: 1.5638, train_accuracy: 57.1085, val_loss: 1.6006, val_accuracy: 56.5992, test_loss: 1.6057, test_accuracy: 55.7085, epsilon: 12.7823
num_steps: 2650, train_loss: 1.5675, train_accuracy: 57.1623, val_loss: 1.6075, val_accuracy: 56.5522, test_loss: 1.6146, test_accuracy: 55.7147, epsilon: 12.9303
num_steps: 2700, train_loss: 1.5616, train_accuracy: 57.2206, val_loss: 1.5979, val_accuracy: 56.7469, test_loss: 1.5987, test_accuracy: 56.0336, epsilon: 13.0781
num_steps: 2750, train_loss: 1.5590, train_accuracy: 57.3185, val_loss: 1.5975, val_accuracy: 56.7334, test_loss: 1.6020, test_accuracy: 55.8731, epsilon: 13.2215
num_steps: 2800, train_loss: 1.5600, train_accuracy: 57.3306, val_loss: 1.5968, val_accuracy: 56.8912, test_loss: 1.5988, test_accuracy: 55.9492, epsilon: 13.3648
num_steps: 2850, train_loss: 1.5595, train_accuracy: 57.3592, val_loss: 1.5956, val_accuracy: 56.9851, test_loss: 1.6011, test_accuracy: 55.9533, epsilon: 13.5082
num_steps: 2900, train_loss: 1.5612, train_accuracy: 57.2789, val_loss: 1.6013, val_accuracy: 56.8945, test_loss: 1.6060, test_accuracy: 55.8957, epsilon: 13.6516
num_steps: 2950, train_loss: 1.5626, train_accuracy: 57.2547, val_loss: 1.6038, val_accuracy: 56.7871, test_loss: 1.5999, test_accuracy: 56.2023, epsilon: 13.7949
num_steps: 2999, train_loss: 1.5656, train_accuracy: 57.3427, val_loss: 1.6124, val_accuracy: 56.7435, test_loss: 1.6145, test_accuracy: 55.8402, epsilon: 13.9328
Time: 603s
